benchmark,library,order,size,median,mean,stdev,unit
IntMap.getMiss,JRE,highBits,25165822,4.662821515901799,4.796354035125575,0.27749816293923424,ns/op
IntMap.getMiss,JRE,lowBits,514,1.6880108832112797,1.6878937993123593,0.006412373677324061,ns/op
IntMap.getMiss,JRE,lowBits,766,1.7649649701668593,1.7633545041876602,0.012141261374623414,ns/op
IntMap.getMiss,JRE,lowBits,1026,1.6759189562111603,1.6715450901246196,0.0117502515652856,ns/op
IntMap.getMiss,JRE,lowBits,1534,1.9516984293310484,1.9513592317549997,0.015252788637064012,ns/op
IntMap.getMiss,JRE,lowBits,2050,1.6342326708506691,1.6324043785622147,0.010810207748652441,ns/op
IntMap.getMiss,JRE,lowBits,3070,1.966982263442492,1.9666797856332545,0.005098483628737165,ns/op
IntMap.getMiss,JRE,lowBits,4098,1.6471207612189844,1.6452520574502394,0.01580145720327728,ns/op
IntMap.getMiss,JRE,lowBits,6142,1.9963532479652915,1.9962080478879867,0.009796138006941424,ns/op
IntMap.getMiss,JRE,lowBits,8194,1.7346874999082242,1.7342766659083886,0.006269503619786768,ns/op
IntMap.getMiss,JRE,lowBits,12286,2.1464831733877032,2.1463025780004026,0.009680326868971887,ns/op
IntMap.getMiss,JRE,lowBits,16386,1.7996581479767588,1.7975281401947227,0.015633308001087837,ns/op
IntMap.getMiss,JRE,lowBits,24574,2.770361813839228,2.77159193409087,0.028126726956594714,ns/op
IntMap.getMiss,JRE,lowBits,32770,1.8216702897514874,1.8250522227861128,0.012371638766140065,ns/op
IntMap.getMiss,JRE,lowBits,49150,4.150130896221297,4.145529344297623,0.058318592556660526,ns/op
IntMap.getMiss,JRE,lowBits,65538,1.8241057822242772,1.8259557117308005,0.011008958641714472,ns/op
IntMap.getMiss,JRE,lowBits,98302,5.316718084488144,5.285481194697129,0.07664842219278314,ns/op
IntMap.getMiss,JRE,lowBits,131074,1.857464897689783,1.857499994867736,0.007060858731504439,ns/op
IntMap.getMiss,JRE,lowBits,196606,6.008088831256941,6.009776917371677,0.04694014111575921,ns/op
IntMap.getMiss,JRE,lowBits,262146,2.0572432075060094,2.0545725570925675,0.014070224486697296,ns/op
IntMap.getMiss,JRE,lowBits,393214,7.425534708474043,7.452911487375228,0.09217482586258922,ns/op
IntMap.getMiss,JRE,lowBits,524290,2.3871836475541883,2.389157918837114,0.006445325719391407,ns/op
IntMap.getMiss,JRE,lowBits,786430,15.423212723105236,15.46382075212396,0.20427151000053026,ns/op
